run,min_entropy,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,0.04775,2.993333333333333,0.01663202472073204,0.0033333333333333335,0.29749533502968617
2,0.03625,2.5254237288135593,0.03256394489379317,0.0028248587570621464,0.12672883380920563
3,0.04695,2.7777777777777777,0.022247246612191036,0.0032679738562091496,0.21662287410920564
4,0.0505,2.8625954198473282,0.026348701750123174,0.00381679389312977,0.24664523905182806
5,0.042375,2.6625386996904026,0.027990656901354185,0.003095975232198142,0.17087092474089383
6,0.0386,2.6628242074927955,0.02654020060649824,0.002881844380403458,0.1772977903036904
7,0.04815,2.726153846153846,0.022837359865223644,0.0030769230769230765,0.20723657295085857
8,0.0433,2.7058823529411766,0.029990122185018928,0.0030959752321981426,0.19986016585828129
9,0.0459,2.727810650887574,0.031418502558082574,0.0029585798816568034,0.18398246812248534
10,0.046325,2.721407624633431,0.02263127657831357,0.002932551319648094,0.18510773938543926
11,0.046625,2.574193548387097,0.02451683403766085,0.0032258064516129024,0.16834867188072575
12,0.045425,2.6873065015479876,0.02539501225756026,0.0030959752321981426,0.1941823487355675
13,0.045875,2.7027027027027026,0.028499726020928654,0.003003003003003003,0.18744887209306688
14,0.054725,2.8867313915857604,0.017612275036138922,0.003236245954692556,0.25895694632670035
15,0.041225,2.648829431438127,0.0298295442736645,0.0033444816053511696,0.16117270658664343
16,0.037225,2.6466666666666665,0.027353819218423836,0.0033333333333333335,0.18064180618975145
17,0.04535,2.756183745583039,0.024102041757311298,0.0035335689045936382,0.22975082997321133
18,0.044575,2.77037037037037,0.025419608406939385,0.0024691358024691353,0.19691732136176585
19,0.050475,2.6385964912280704,0.027986616618688013,0.003508771929824561,0.18955340314434252
20,0.051175,2.769716088328076,0.016123188750270155,0.003154574132492113,0.20984414529781042
21,0.047175,2.687679083094556,0.022047965059855488,0.0028653295128939823,0.17484722733709987
22,0.044975,2.6754966887417218,0.02494400563243933,0.0033112582781456954,0.20370980620313595
23,0.048375,2.7308970099667773,0.02587213932006652,0.003322259136212624,0.2121378408911938
24,0.045925,2.559006211180124,0.017124765387666645,0.0031055900621118006,0.1700490735644836
25,0.04755,2.64951768488746,0.02264828374233695,0.003215434083601286,0.1865623750533386
26,0.0429,2.683076923076923,0.02801778201159005,0.003076923076923076,0.19391181732084609
27,0.04725,2.7579617834394905,0.02437687157676576,0.003184713375796178,0.2155555937072582
28,0.0464,2.8608414239482203,0.021415161796553905,0.0032362459546925564,0.22444017686736126
29,0.0452,2.87459807073955,0.021884420938219292,0.0032154340836012853,0.24282832103902643
30,0.045,2.6552901023890785,0.024414547156991588,0.0034129692832764505,0.16902341177175018
31,0.04515,2.9176470588235293,0.019726073390030456,0.0029411764705882344,0.2675988295331677
32,0.046875,2.781869688385269,0.024106559163216395,0.0028328611898017,0.21346024136392389
33,0.050975,2.732673267326733,0.0223782141475682,0.0033003300330032995,0.23845527126970106
34,0.049275,2.8996960486322187,0.020003160350613017,0.0030395136778115497,0.2333884729367838
35,0.043575,2.7565789473684212,0.02474449475271682,0.0032894736842105253,0.21312052368749582
36,0.052725,2.7916666666666665,0.021865171575824894,0.002976190476190476,0.2148389804639803
37,0.051225,2.7655172413793103,0.02076041708096356,0.0034482758620689655,0.23914150862889508
38,0.043,2.6089965397923875,0.01781586618387192,0.003460207612456747,0.1800118457557904
39,0.041575,2.820809248554913,0.022796961177967274,0.002890173410404624,0.1805111458251248
40,0.040275,2.6186186186186187,0.030735828100513424,0.0030030030030030025,0.14142363517363532
41,0.0482,2.925170068027211,0.02248668414020431,0.003401360544217687,0.25459585817545927
42,0.048825,2.738853503184713,0.027482730228400844,0.0031847133757961785,0.22426667784109944
43,0.0456,2.836734693877551,0.01943978769683571,0.003401360544217687,0.22648660784445787
44,0.047375,2.8125,0.017768642890226956,0.0039062499999999996,0.2422677526278069
45,0.0458,2.8203389830508474,0.024286269144089635,0.0033898305084745753,0.21871525837627545
46,0.039525,2.6890243902439024,0.02840706553347967,0.0030487804878048777,0.1434751047821037
47,0.0439,2.5171339563862927,0.036990778718542186,0.0031152647975077876,0.14763649393766543
48,0.0416,2.659217877094972,0.025129906334512984,0.002793296089385474,0.16979985756233107
49,0.045925,2.688821752265861,0.023302326008503293,0.0030211480362537764,0.18153452572209958
50,0.048625,2.8493975903614457,0.018434518077804222,0.0030120481927710845,0.2104003615540327
51,0.045475,2.6584615384615384,0.020325768334024264,0.003076923076923076,0.18232324978392397
52,0.045525,2.761904761904762,0.025690247338158452,0.0031746031746031737,0.19551723179052366
53,0.0453,2.636904761904762,0.016145587290238284,0.002976190476190476,0.18955089787853127
54,0.046225,2.6245847176079735,0.024807831198124422,0.003322259136212624,0.17393564661006522
55,0.04355,2.9498327759197323,0.019440966041491276,0.00334448160535117,0.2743023116540903
56,0.041675,2.6459627329192545,0.02761707639171069,0.0031055900621118006,0.16011862794471488
57,0.053225,2.9655172413793105,0.019750029829375963,0.0034482758620689655,0.26615352029145145
58,0.046225,2.761290322580645,0.02209832656121413,0.0032258064516129024,0.21564981891477347
59,0.044325,2.8098159509202456,0.025270655270655275,0.003067484662576686,0.22704788362850625
60,0.044675,2.722972972972973,0.019175695931143873,0.003378378378378378,0.22191161476875748
61,0.04725,2.801324503311258,0.021395128820047963,0.0033112582781456954,0.2294222649764989
62,0.049075,2.885813148788927,0.018883198903664772,0.003460207612456747,0.23915978199916788
63,0.049725,2.795774647887324,0.020950188008738095,0.0035211267605633804,0.24384664948453594
64,0.04495,2.6740331491712706,0.017257923815062505,0.002762430939226518,0.19756847992838525
65,0.041725,2.5579937304075235,0.02594660702449853,0.0031347962382445136,0.1421920052057038
66,0.04705,2.784660766961652,0.026659202042443795,0.002949852507374631,0.2002614887570639
67,0.04785,2.7142857142857144,0.020124037639007702,0.002976190476190476,0.17437086381051903
68,0.042025,2.657303370786517,0.018476784658947136,0.0028089887640449424,0.18563957618671822
69,0.045975,2.552380952380952,0.02500372268590253,0.0031746031746031746,0.15035745779793402
70,0.047325,2.75,0.022288371656963537,0.003289473684210525,0.22407637358667754
71,0.051025,2.8193548387096774,0.01624942548838572,0.0032258064516129024,0.23467820099778414
72,0.045475,2.676156583629893,0.023608355062837903,0.0035587188612099642,0.19640374191029636
73,0.052125,2.86875,0.025278052976084847,0.0031249999999999993,0.23494971264367806
74,0.040225,2.6,0.021247054277671817,0.0030303030303030294,0.15482127208154606
75,0.044375,2.6984126984126986,0.015762352776251556,0.003174603174603174,0.21117516012252838
76,0.0435,2.731707317073171,0.023281382716556016,0.003484320557491289,0.19752204909189994
77,0.050825,2.9761904761904763,0.019407666543246122,0.0029761904761904756,0.25570389266817833
78,0.040275,2.8338762214983713,0.02500985086368254,0.003257328990228013,0.2313311747548486
79,0.045475,2.641891891891892,0.03228869651387811,0.003378378378378378,0.1645007187861686
80,0.0525,2.8929663608562692,0.018274040175317825,0.0030581039755351674,0.25386806465705536
81,0.048325,2.746913580246914,0.022433534817435746,0.003086419753086419,0.1932727800588943
82,0.041875,2.5481927710843375,0.028652925351502115,0.0030120481927710836,0.16222309328638757
83,0.051475,2.761006289308176,0.023426812800222616,0.0031446540880503138,0.2196567922983018
84,0.04385,2.7283236994219653,0.024660523952299968,0.002890173410404624,0.19803212462507194
85,0.03775,2.5745257452574526,0.027637998361976272,0.0027100271002710023,0.14098946925542316
86,0.03995,2.653968253968254,0.02430918739500169,0.0031746031746031746,0.16431417649462768
87,0.041725,2.700854700854701,0.022890869079980832,0.002849002849002849,0.20756051708432638
88,0.051675,2.868327402135231,0.022211380247197026,0.0035587188612099642,0.2598523066494595
89,0.05295,2.818713450292398,0.021650995120484785,0.0029239766081871343,0.220326504560319
90,0.04095,2.6754966887417218,0.025179717351286733,0.003311258278145695,0.17093655465620144
91,0.051225,2.8013468013468015,0.021391345120158674,0.0033670033670033664,0.19232521971025743
92,0.0445,2.818713450292398,0.018889887590576696,0.0029239766081871343,0.2074625767773732
93,0.0539,3.1052631578947367,0.018186828703783586,0.003289473684210525,0.2961030489109856
94,0.0417,2.58356940509915,0.027357865353616055,0.0028328611898017,0.14737971423124838
95,0.046075,2.6153846153846154,0.026576636777209835,0.002849002849002849,0.14963485881207406
96,0.046875,2.8975265017667846,0.021041506079288536,0.0035335689045936387,0.263904027792048
97,0.044125,2.76878612716763,0.024184673021736217,0.002890173410404624,0.22134201072791504
98,0.039125,2.7229551451187337,0.022531588449157373,0.002638522427440633,0.14913342645765434
99,0.04085,2.608974358974359,0.023573799398402654,0.0032051282051282046,0.16139817784554625
100,0.04355,2.8686868686868685,0.016986786478311908,0.0033670033670033664,0.21791113751898056
